"","caseId","justiceName","pitch_diff","petitioner_vote","justiceMQ","unpleasantDiff_totalWords","pleasantDiff_totalWords","docket","jquest_r","jquest_p","jwords_r","jwords_p"
"73","2004-017","DHSouter",-1.248855215,0,-1.698,-3.119763374,0.569371223,"03-923","83","75","2170","2535"
"74","2004-018","SGBreyer",-0.097696039,1,-1.182,-0.327532291,0.122061729,"03-892","81","80","2234","2410"
"75","2004-018","SGBreyer",-0.097696039,1,-1.182,-0.327532291,0.122061729,"03-892","81","80","2234","2410"
"76","2004-018","DHSouter",-0.314383966,1,-1.698,-3.238095284,-2.095238209,"03-892","81","80","2234","2410"
"77","2004-018","DHSouter",-0.314383966,1,-1.698,-3.238095284,-2.095238209,"03-892","81","80","2234","2410"
"78","2004-018","RBGinsburg",-0.215113687,1,-1.697,-3.114186764,-2.525951385,"03-892","81","80","2234","2410"
"79","2004-018","RBGinsburg",-0.215113687,1,-1.697,-3.114186764,-2.525951385,"03-892","81","80","2234","2410"
"80","2004-018","SDOConnor",0.87337971,1,0.084,5.283019066,-4.394400597,"03-892","81","80","2234","2410"
"81","2004-018","SDOConnor",0.87337971,1,0.084,5.283019066,-4.394400597,"03-892","81","80","2234","2410"
"82","2004-018","AScalia",-2.529458375,1,2.725,-1.811864376,-1.768841028,"03-892","81","80","2234","2410"
"83","2004-018","AScalia",-2.529458375,1,2.725,-1.811864376,-1.768841028,"03-892","81","80","2234","2410"
"84","2004-018","AMKennedy",0.894313593,1,0.534,-1.409797192,1.58900857,"03-892","81","80","2234","2410"
"85","2004-018","AMKennedy",0.894313593,1,0.534,-1.409797192,1.58900857,"03-892","81","80","2234","2410"
"86","2004-019","AMKennedy",-0.886409177,0,0.534,-1.070804119,13.17744732,"03-9560",NA,NA,NA,NA
"87","2004-019","AScalia",-0.481987296,0,2.725,-7.744579792,-0.236206532,"03-9560",NA,NA,NA,NA
"88","2004-019","SGBreyer",0.918926524,0,-1.182,-0.369764328,2.085851669,"03-9560",NA,NA,NA,NA
"89","2004-019","RBGinsburg",-0.264647263,0,-1.697,1.011605501,-1.020914793,"03-9560",NA,NA,NA,NA
"90","2004-019","DHSouter",-0.901483036,0,-1.698,-2.478837967,-0.101438761,"03-9560",NA,NA,NA,NA
"91","2004-019","JPStevens",-0.441792519,0,-2.522,-1.014024258,-0.435189724,"03-9560",NA,NA,NA,NA
"92","2004-022","SGBreyer",0.805078335,1,-1.182,0.68691206,0.46302247,"03-814","50","95","1416","2065"
"93","2004-022","AScalia",0.290525969,1,2.725,2.76177454,1.486762762,"03-814","50","95","1416","2065"
"94","2004-022","DHSouter",1.553162497,1,-1.698,1.042844772,1.583113432,"03-814","50","95","1416","2065"
"95","2004-022","RBGinsburg",2.220951133,1,-1.697,0.199876308,-0.432722092,"03-814","50","95","1416","2065"
"96","2004-022","AMKennedy",1.071702845,1,0.534,-0.245310307,-6.969696999,"03-814","50","95","1416","2065"
"97","2004-023","AMKennedy",-0.143321433,1,0.534,-2.852049828,0.6734007,"03-636","72","56","1848","1611"
