,caseId,justiceName,petac,respac,sgpetac,sgrespac,justiceMQ,petNumStat,respNumStat,lowerConservative,lowerConXjusticeMQ,unpleasantDiff_totalWords,pleasantDiff_totalWords,questionDifference,petVote
1743,2008-044,DHSouter,1,4,1,0,-1.506,9,3,0,0,3.684210539,2.631578922,8,0
1744,2008-044,JPStevens,1,4,1,0,-2.545,9,3,0,0,-0.862794638,2.904040337,17,0
1745,2008-044,CThomas,1,4,1,0,4.274,9,3,0,0,0,0,0,0
1746,2007-034,JPStevens,1,4,1,0,-2.349,9,3,0,0,0.541125536,0.030921459,10,1
1747,2008-044,JGRoberts,1,4,1,0,1.699,9,3,0,0,-3.324099779,-1.141723514,-9,1
1748,2008-051,AMKennedy,1,1,1,0,0.588,9,3,0,0,0,0,0,1
1749,2005-080,SGBreyer,3,1,1,0,-1.4,9,3,0,0,-4.166666508,-1.851851821,-5,1
1750,2008-051,RBGinsburg,1,1,1,0,-1.65,9,3,0,0,0,0.996677876,6,0
1751,2008-051,AScalia,1,1,1,0,2.736,9,3,0,0,9.23913002,1.630434752,9,1
1752,2008-032,CThomas,2,2,1,0,4.274,9,3,0,0,0,0,0,1
1753,2005-080,JGRoberts,3,1,1,0,1.568,9,3,0,0,-1.946850538,-3.162055254,-5,1
1754,2008-051,DHSouter,1,1,1,0,-1.506,9,3,0,0,0,0,0,1
1755,2007-034,CThomas,1,4,1,0,4.372,9,3,0,0,0,0,0,1
1756,2008-032,SAAlito,2,2,1,0,1.898,9,3,0,0,-2.559267044,-0.619612098,-4,1
1757,2007-034,DHSouter,1,4,1,0,-1.487,9,3,0,0,3.602255344,-0.107269406,1,1
1758,2007-034,AMKennedy,1,4,1,0,0.342,9,3,0,0,-5.882352829,0.071105361,-4,1
1759,2008-051,SGBreyer,1,1,1,0,-1.11,9,3,0,0,-3.4700315,-1.892744422,-8,1
1760,2008-044,RBGinsburg,1,4,1,0,-1.65,9,3,0,0,3.00129962,-3.521209955,6,0
1761,2007-034,AScalia,1,4,1,0,2.755,9,3,0,0,-0.093317032,2.122791529,17,1
1762,2008-051,JGRoberts,1,1,1,0,1.699,9,3,0,0,3.654026508,0.372190952,-6,1
1763,2005-080,JPStevens,3,1,1,0,-2.418,9,3,0,0,-5.603804588,3.365384579,2,0
1764,2005-080,DHSouter,3,1,1,0,-1.587,9,3,0,0,-0.292397499,-1.875699997,-10,1
1765,2008-044,SAAlito,1,4,1,0,1.898,9,3,0,0,-6.140350819,-2.92397666,-12,1
1766,2008-051,SAAlito,1,1,1,0,1.898,9,3,0,0,-6.622516632,-1.324503303,-4,1
1767,2008-032,AMKennedy,2,2,1,0,0.588,9,3,0,0,-3.921568632,-3.921568632,-3,1
1768,2008-032,SGBreyer,2,2,1,0,-1.11,9,3,0,0,-1.250880957,2.730796337,5,0
1769,2005-080,CThomas,3,1,1,0,4.341,9,3,0,0,0,0,0,1
